,آذربایجان شرقی,آذربایجان غربی,اردبیل,اصفهان,البرز,ایلام,بوشهر,تهران,چهارمحال و بختیاری,خراسان جنوبی,خراسان رضوی,خراسان شمالی,خوزستان,زنجان,سمنان,سیستان و بلوچستان,فارس,قزوین,قم,کردستان,کرمان,کرمانشاه,کهگیلویه و بویراحمد,گلستان,گیلان,لرستان,مازندران,مرکزی,هرمزگان,همدان,یزد
میزان شادی,32,67,58,74,71,43,53,52,83,33,89,3,47,11,86,29,9,44,65,35,81,6,32,68,84,30,78,37,91,54,22
میزان ترافیک,45,57,30,70,51,4,91,35,75,77,80,53,14,56,4,33,76,100,42,48,47,88,89,75,13,33,48,84,98,55,85
میزان سلامتی,97,37,31,41,91,55,90,83,95,43,51,74,50,61,65,6,4,96,61,62,84,17,33,23,63,43,6,20,51,66,30
میزان رضایتمندی,41,26,55,52,11,22,94,78,82,8,70,32,44,93,71,64,60,26,21,96,11,85,15,52,8,88,4,58,30,5,49
میزان آلودگی,51,23,26,19,59,60,24,16,45,51,18,33,96,12,22,90,76,81,35,24,37,26,21,88,87,7,91,42,12,22,79
میزان اقتصادی,41,98,31,55,69,25,64,12,71,76,50,63,74,52,54,27,36,90,66,33,8,82,97,6,94,20,6,49,61,96,46
میزان مطالعه عمومی,65,37,78,1,7,6,58,8,58,82,30,70,45,48,8,17,44,97,30,20,76,89,60,79,7,55,55,55,61,30,17
میزان تفریحات,50,13,82,53,73,12,85,72,65,35,48,62,62,94,70,30,91,2,6,61,55,95,50,20,12,100,22,47,62,22,95
میزان تحصیلات,83,12,44,1,100,2,7,75,40,31,71,50,80,40,75,68,35,88,13,80,89,85,55,16,95,76,97,53,15,38,80
میزان درآمد,92,43,86,59,98,43,65,61,41,75,14,82,2,82,1,57,92,3,77,91,90,68,63,79,14,95,90,92,68,80,93
میزان مصرف انرژی,90,44,66,6,73,88,74,48,89,32,60,26,92,14,9,3,2,48,56,27,3,63,68,90,81,41,53,48,63,59,91
میزان خستگی,58,86,80,92,91,32,53,15,100,7,39,35,31,78,30,74,5,27,10,91,89,63,47,93,37,64,96,27,20,22,64
میزان امنیت,87,100,88,42,78,45,60,72,89,54,48,96,84,86,47,67,61,78,29,94,88,16,6,73,18,42,31,61,26,51,43
میزان مصرف آب,56,8,38,61,94,99,48,81,73,64,7,19,14,15,41,2,20,9,42,62,83,77,90,57,68,24,72,68,18,54,57
میزان ورزش,74,26,3,20,72,30,24,11,89,48,83,43,44,18,42,85,50,38,94,84,12,36,77,76,2,31,54,93,23,46,95
میزان خواب,84,40,12,48,20,92,93,77,13,81,54,51,58,59,87,17,100,80,14,46,99,81,50,92,37,87,96,87,67,94,85
میزان استرس,82,48,25,62,24,41,88,4,11,33,99,21,20,20,7,99,41,4,41,53,69,43,14,84,41,69,30,38,56,13,37
میزان مشارکت اجتماعی,42,70,71,87,78,31,13,78,59,79,58,24,65,29,55,79,46,24,57,73,36,72,52,5,69,79,80,49,36,45,27
میزان نوآوری,56,33,20,34,99,35,74,60,66,50,20,91,32,92,63,98,11,38,53,21,70,89,56,28,59,56,33,8,46,49,99
میزان تولید زباله,70,55,27,71,71,62,31,79,39,79,87,88,34,98,65,48,8,71,70,5,84,98,7,79,72,99,33,90,77,65,5
میزان رضایت مشتری,93,84,87,62,18,19,1,85,91,52,100,56,68,3,62,20,50,24,45,83,24,59,62,51,1,12,84,29,67,15,86
میزان پیشرفت شغلی,95,66,56,12,20,19,37,79,55,4,53,48,58,81,9,78,37,53,51,49,31,69,88,1,90,88,24,90,98,95,91
میزان خلاقیت,53,54,63,42,65,41,78,3,45,65,17,6,36,67,97,20,88,79,16,77,6,82,5,46,67,38,57,54,46,59,59
میزان دسترسی به خدمات بهداشتی,13,75,36,38,30,24,30,96,57,32,22,14,12,51,83,77,34,76,25,98,80,75,15,65,9,52,3,87,54,11,8
میزان ترافیک اینترنت,96,41,9,74,91,96,7,5,89,87,50,51,36,95,70,1,34,34,88,30,83,46,33,1,13,92,16,91,43,53,57
میزان فعالیت فرهنگی,50,47,61,28,15,54,67,24,44,20,57,40,86,72,62,48,87,24,19,23,96,61,16,13,86,80,29,88,3,89,44
میزان تعاملات خانوادگی,91,67,24,69,95,80,76,49,82,19,88,91,74,63,62,83,17,53,52,20,23,30,1,24,11,97,18,43,32,33,64
میزان کیفیت هوا,8,71,6,5,76,36,82,64,18,24,50,53,83,38,14,55,87,90,30,68,39,17,79,70,69,19,83,63,28,45,40
میزان هزینه‌های زندگی,57,97,70,83,11,100,89,14,98,73,5,77,61,36,87,48,20,61,56,59,57,48,34,91,74,28,5,17,97,60,77
میزان یادگیری مهارت‌های جدید,60,69,20,57,7,48,86,11,35,25,66,92,7,29,26,80,48,98,98,67,47,49,37,25,71,54,85,40,13,63,69
